"","Coefficients","Estimate","Standard Error","t-value","p.value","R-Squared","Variate"
"1","(Intercept)",5.723,0.005,1168.107,"$<$ 0.001",0.998,"Niche_Area_Migration"
"2","z.K_num",4.665,0.005,908.424,"$<$ 0.001",0.998,"Niche_Area_Migration"
"3","z.area",0.349,0.005,67.936,"$<$ 0.001",0.998,"Niche_Area_Migration"
"4","z.migration",0.22,0.005,44.8,"$<$ 0.001",0.998,"Niche_Area_Migration"
"5","(Intercept)",5.723,0.007,774.946,"$<$ 0.001",0.996,"Niche_Area"
"6","z.K_num",4.665,0.008,602.667,"$<$ 0.001",0.996,"Niche_Area"
"7","z.area",0.349,0.008,45.07,"$<$ 0.001",0.996,"Niche_Area"
"8","(Intercept)",5.723,0.011,512.475,"$<$ 0.001",0.991,"Niche"
"9","z.K_num",4.769,0.011,426.944,"$<$ 0.001",0.991,"Niche"
