"","R-Squared","AIC Score","BIC Score","ID","Model"
"1",NA,NA,NA,18,"Gompertz"
"2",0.928247560878275,-61.0352713859109,-54.3742488350349,18,"Baranyi"
"3",NA,NA,NA,18,"Buchanan"
"4",0.925704942406653,-62.0602391146524,-56.7314210739515,18,"Quadratic"
"5",0.930678093853824,-62.0001762090164,-55.3391536581404,18,"Polynomial"
"6",0.742392498312999,-29.2452439246913,-25.2486303941657,18,"Linear"
