"","ID","t","LogN","Model"
"1",43,0,-6.8386835437197,"Logistic"
"2",43,0.5,-6.75806966812495,"Logistic"
"3",43,1,-6.67957440454996,"Logistic"
"4",43,1.5,-6.603115678064,"Logistic"
"5",43,2,-6.52861559904246,"Logistic"
"6",43,2.5,-6.45600019974362,"Logistic"
"7",43,3,-6.38519919053389,"Logistic"
"8",43,3.5,-6.31614573407269,"Logistic"
"9",43,4,-6.24877623593213,"Logistic"
"10",43,4.5,-6.18303015027261,"Logistic"
"11",43,5,-6.11884979932634,"Logistic"
"12",43,5.5,-6.05618020555744,"Logistic"
"13",43,6,-5.99496893547213,"Logistic"
"14",43,6.5,-5.93516595414629,"Logistic"
"15",43,7,-5.87672348962223,"Logistic"
"16",43,7.5,-5.8195959064022,"Logistic"
"17",43,8,-5.76373958733451,"Logistic"
"18",43,8.5,-5.70911282324992,"Logistic"
"19",43,9,-5.65567570976128,"Logistic"
"20",43,9.5,-5.6033900506899,"Logistic"
"21",43,10,-5.55221926762743,"Logistic"
"22",43,10.5,-5.50212831518319,"Logistic"
"23",43,11,-5.4530836015044,"Logistic"
"24",43,11.5,-5.40505291369043,"Logistic"
"25",43,12,-5.35800534775305,"Logistic"
"26",43,12.5,-5.31191124280276,"Logistic"
"27",43,13,-5.26674211916655,"Logistic"
"28",43,13.5,-5.22247062016591,"Logistic"
"29",43,14,-5.1790704573049,"Logistic"
"30",43,14.5,-5.13651635863758,"Logistic"
"31",43,15,-5.09478402010161,"Logistic"
"32",43,15.5,-5.05385005962125,"Logistic"
"33",43,16,-5.01369197379745,"Logistic"
"34",43,16.5,-4.97428809701666,"Logistic"
"35",43,17,-4.93561756282209,"Logistic"
"36",43,17.5,-4.89766026740275,"Logistic"
"37",43,18,-4.86039683506612,"Logistic"
"38",43,18.5,-4.82380858556967,"Logistic"
"39",43,19,-4.78787750319576,"Logistic"
"40",43,19.5,-4.75258620746204,"Logistic"
"41",43,20,-4.71791792536762,"Logistic"
"42",43,20.5,-4.68385646508162,"Logistic"
"43",43,21,-4.65038619098761,"Logistic"
"44",43,21.5,-4.61749200000293,"Logistic"
"45",43,22,-4.58515929909769,"Logistic"
"46",43,22.5,-4.55337398394305,"Logistic"
"47",43,23,-4.52212241862321,"Logistic"
"48",43,23.5,-4.49139141634975,"Logistic"
"49",43,24,-4.46116822112101,"Logistic"
"50",43,24.5,-4.43144049027298,"Logistic"
"51",43,25,-4.40219627787149,"Logistic"
"52",43,25.5,-4.37342401889879,"Logistic"
"53",43,26,-4.34511251419048,"Logistic"
"54",43,26.5,-4.31725091608168,"Logistic"
"55",43,27,-4.28982871472372,"Logistic"
"56",43,27.5,-4.26283572503502,"Logistic"
"57",43,28,-4.23626207425231,"Logistic"
"58",43,28.5,-4.21009819005003,"Logistic"
"59",43,29,-4.18433478919802,"Logistic"
"60",43,29.5,-4.15896286672914,"Logistic"
"61",43,30,-4.13397368559041,"Logistic"
"62",43,30.5,-4.10935876675251,"Logistic"
"63",43,31,-4.08510987975429,"Logistic"
"64",43,31.5,-4.06121903366006,"Logistic"
"65",43,32,-4.03767846840872,"Logistic"
"66",43,32.5,-4.0144806465352,"Logistic"
"67",43,33,-3.99161824524558,"Logistic"
"68",43,33.5,-3.96908414882831,"Logistic"
"69",43,34,-3.94687144138519,"Logistic"
"70",43,34.5,-3.92497339986636,"Logistic"
"71",43,35,-3.9033834873946,"Logistic"
"72",43,35.5,-3.88209534686505,"Logistic"
"73",43,36,-3.86110279480716,"Logistic"
"74",43,36.5,-3.84039981549645,"Logistic"
"75",43,37,-3.81998055530419,"Logistic"
"76",43,37.5,-3.79983931727404,"Logistic"
"77",43,38,-3.77997055591494,"Logistic"
"78",43,38.5,-3.76036887220028,"Logistic"
"79",43,39,-3.74102900876397,"Logistic"
"80",43,39.5,-3.72194584528429,"Logistic"
"81",43,40,-3.70311439404708,"Logistic"
"82",43,40.5,-3.68452979568028,"Logistic"
"83",43,41,-3.66618731505192,"Logistic"
"84",43,41.5,-3.6480823373246,"Logistic"
"85",43,42,-3.63021036415919,"Logistic"
"86",43,42.5,-3.61256701006161,"Logistic"
"87",43,43,-3.59514799886604,"Logistic"
"88",43,43.5,-3.57794916034893,"Logistic"
"89",43,44,-3.56096642696806,"Logistic"
"90",43,44.5,-3.54419583072134,"Logistic"
"91",43,45,-3.52763350012012,"Logistic"
"92",43,45.5,-3.51127565727239,"Logistic"
"93",43,46,-3.4951186150711,"Logistic"
"94",43,46.5,-3.47915877448313,"Logistic"
"95",43,47,-3.46339262193498,"Logistic"
"96",43,47.5,-3.44781672679096,"Logistic"
"97",43,48,-3.43242773892011,"Logistic"
"98",43,48.5,-3.41722238634835,"Logistic"
"99",43,49,-3.40219747299233,"Logistic"
"100",43,49.5,-3.38734987647155,"Logistic"
"101",43,50,-3.37267654599591,"Logistic"
"102",43,50.5,-3.35817450032537,"Logistic"
"103",43,51,-3.34384082579905,"Logistic"
"104",43,51.5,-3.32967267443095,"Logistic"
"105",43,52,-3.31566726206974,"Logistic"
"106",43,52.5,-3.30182186662005,"Logistic"
"107",43,53,-3.2881338263229,"Logistic"
"108",43,53.5,-3.27460053809302,"Logistic"
"109",43,54,-3.26121945591083,"Logistic"
"110",43,54.5,-3.24798808926701,"Logistic"
"111",43,55,-3.2349040016577,"Logistic"
"112",43,55.5,-3.22196480912839,"Logistic"
"113",43,56,-3.20916817886459,"Logistic"
"114",43,56.5,-3.19651182782773,"Logistic"
"115",43,57,-3.18399352143442,"Logistic"
"116",43,57.5,-3.17161107227755,"Logistic"
"117",43,58,-3.15936233888769,"Logistic"
"118",43,58.5,-3.14724522453331,"Logistic"
"119",43,59,-3.13525767605843,"Logistic"
"120",43,59.5,-3.12339768275628,"Logistic"
"121",43,60,-3.11166327527772,"Logistic"
"122",43,60.5,-3.10005252457322,"Logistic"
"123",43,61,-3.08856354086711,"Logistic"
"124",43,61.5,-3.07719447266302,"Logistic"
