"","X1","R-Squared","AIC Score","BIC Score","ID","Model"
"1",1,0.998418596525447,-100.474003576426,-95.1451855357256,1,"Logistic"
"2",2,0.995974109015019,-72.3098649796947,-65.6488424288187,1,"Gompertz"
"3",3,NA,NA,NA,1,"Baranyi"
"4",4,NA,NA,NA,1,"Buchanan"
"5",5,0.934979867982209,3.58475451363071,8.91357255433153,1,"Quadratic"
"6",6,0.987590443275394,-40.7896873322186,-34.1286647813426,1,"Polynomial"
"7",7,0.714849861402188,42.9776836677899,46.9742971983155,1,"Linear"
"8",1,0.989568377899563,-75.6980651735834,-70.3692471328826,10,"Logistic"
"9",2,0.985093320978898,-63.7029726683976,-57.0419501175216,10,"Gompertz"
"10",3,NA,NA,NA,10,"Baranyi"
"11",4,NA,NA,NA,10,"Buchanan"
"12",5,0.920018555702083,-18.6633844775625,-13.3345664368617,10,"Quadratic"
"13",6,0.972203134727945,-46.2557838778591,-39.5947613269831,10,"Polynomial"
"14",7,0.631297620932674,22.1260782190632,26.1226917495888,10,"Linear"
"15",1,0.987307793612794,8.53835071723408,9.74869108921026,100,"Logistic"
"16",2,0.99597099494694,-0.936336026890128,0.576589438080102,100,"Gompertz"
"17",3,0.996650249688116,-2.78267253776581,-1.26974707279557,100,"Baranyi"
"18",4,NA,NA,NA,100,"Buchanan"
"19",5,0.987928283618835,8.03712164180603,9.24746201378222,100,"Quadratic"
"20",6,0.995798132018656,-0.516238791928796,0.996686673041435,100,"Polynomial"
"21",7,0.987609563548384,6.29771858070063,7.20547385968277,100,"Linear"
"22",1,0.988302067500691,5.04394879456246,4.21098667147468,101,"Logistic"
"23",2,NA,NA,NA,101,"Gompertz"
"24",3,NA,NA,NA,101,"Baranyi"
"25",4,NA,NA,NA,101,"Buchanan"
"26",5,0.995178177633051,-0.273612259590685,-1.10657438267847,101,"Quadratic"
"27",6,0.996566237250278,-0.310583876919168,-1.35178653077889,101,"Polynomial"
"28",7,0.888817363300739,16.5545214431974,15.9297998508815,101,"Linear"
"29",1,0.822575320868641,47.562486232838,49.8222836626842,102,"Logistic"
"30",2,0.973712698055777,24.7395040338491,27.5642508211568,102,"Gompertz"
"31",3,NA,NA,NA,102,"Baranyi"
"32",4,0.988375170761182,14.1322483546985,16.9569951420062,102,"Buchanan"
"33",5,0.963756847354638,26.9146420676026,29.1744394974488,102,"Quadratic"
"34",6,0.989725862203621,12.5265739189919,15.3513207062995,102,"Polynomial"
"35",7,0.946068574975673,30.0816592693871,31.7765073417717,102,"Linear"
"36",1,0.989489251357776,8.93893147275725,11.1987289026034,103,"Logistic"
"37",2,0.990522994239274,9.59304153229385,12.4177883196015,103,"Gompertz"
"38",3,NA,NA,NA,103,"Baranyi"
"39",4,NA,NA,NA,103,"Buchanan"
"40",5,0.98882611055394,9.73428893644565,11.9940863662918,103,"Quadratic"
"41",6,0.995643652736203,-0.511006911289083,2.3137398760186,103,"Polynomial"
"42",7,0.928851664754374,31.799722137564,33.4945702099486,103,"Linear"
"43",1,0.996100259799709,-2.45359271110338,-0.513966111951374,104,"Logistic"
"44",2,0.994684334823883,3.26338591790553,5.68791916684553,104,"Gompertz"
"45",3,NA,NA,NA,104,"Baranyi"
"46",4,0.995953839256954,-0.0112903363550636,2.41324291258494,104,"Buchanan"
"47",5,0.977684731107533,18.478741835955,20.418368435107,104,"Quadratic"
"48",6,0.997805974606858,-7.35565671012322,-4.93112346118322,104,"Polynomial"
"49",7,0.973020569538801,18.7563849523013,20.2111049016653,104,"Linear"
"50",1,0.99193850481646,6.27227391679738,7.06117222614225,105,"Logistic"
"51",2,0.993346967428566,6.54403749167693,7.53016037835802,105,"Gompertz"
"52",3,NA,NA,NA,105,"Baranyi"
"53",4,0.990329028083086,9.91054181915312,10.8966647058342,105,"Buchanan"
"54",5,0.986940345298154,10.6141316603554,11.4030299697003,105,"Quadratic"
"55",6,0.991949461644715,8.2600331938289,9.24615608051,105,"Polynomial"
"56",7,0.986897245339369,8.64378489103488,9.23545862304354,105,"Linear"
"57",1,0.992535970111401,-7.38103783659163,-6.17069746461545,106,"Logistic"
"58",2,NA,NA,NA,106,"Gompertz"
"59",3,0.991914567323565,-4.58135244019165,-3.06842697522142,106,"Baranyi"
"60",4,NA,NA,NA,106,"Buchanan"
"61",5,0.867896845749756,21.353838374255,22.5641787462312,106,"Quadratic"
"62",6,0.909262569526307,19.5977070481134,21.1106325130836,106,"Polynomial"
"63",7,0.734484353132306,26.3347452097009,27.242500488683,106,"Linear"
"64",1,0.995671821185888,-1.47356455206015,-1.6899239558389,107,"Logistic"
"65",2,0.994362872191976,2.37603022688736,2.10558097216392,107,"Gompertz"
"66",3,NA,NA,NA,107,"Baranyi"
"67",4,NA,NA,NA,107,"Buchanan"
"68",5,0.984473278551435,7.4683449817844,7.25198557800565,107,"Quadratic"
"69",6,0.984957855902986,9.24639852961037,8.97594927488693,107,"Polynomial"
"70",7,0.745492567799175,25.0457177245656,24.8834481717315,107,"Linear"
"71",1,-1.47739087494357,77.6179673604277,79.8777647902739,108,"Logistic"
"72",2,NA,NA,NA,108,"Gompertz"
"73",3,NA,NA,NA,108,"Baranyi"
"74",4,NA,NA,NA,108,"Buchanan"
"75",5,0.94779197147978,27.4415432358208,29.701340665667,108,"Quadratic"
"76",6,0.99389966813083,1.53193278436926,4.35667957167694,108,"Polynomial"
"77",7,0.942607116301968,26.672435653407,28.3672837257917,108,"Linear"
"78",1,0.975335699051668,14.7908742163942,16.7305008155462,109,"Logistic"
"79",2,NA,NA,NA,109,"Gompertz"
