"","ID","t","LogN","Model"
"1",21,0,-118212180.894546,"Logistic"
"2",21,0.5,-119.694422250305,"Logistic"
"3",21,1,-61.6667573882731,"Logistic"
"4",21,1.5,-42.3480208181453,"Logistic"
"5",21,2,-32.7064904399971,"Logistic"
"6",21,2.5,-26.9358068046896,"Logistic"
"7",21,3,-23.1005074877839,"Logistic"
"8",21,3.5,-20.3711011196977,"Logistic"
"9",21,4,-18.3328356549705,"Logistic"
"10",21,4.5,-16.7552877591784,"Logistic"
"11",21,5,-15.5001985623875,"Logistic"
"12",21,5.5,-14.4795808260231,"Logistic"
"13",21,6,-13.6347725339337,"Logistic"
"14",21,6.5,-12.925158064238,"Logistic"
"15",21,7,-12.3217231514405,"Logistic"
"16",21,7.5,-11.8031878697093,"Logistic"
"17",21,8,-11.353589752676,"Logistic"
"18",21,8.5,-10.9607199343095,"Logistic"
"19",21,9,-10.6150805800321,"Logistic"
"20",21,9.5,-10.3091715533713,"Logistic"
"21",21,10,-10.0369910853098,"Logistic"
"22",21,10.5,-9.79367911171775,"Logistic"
"23",21,11,-9.57525788410844,"Logistic"
"24",21,11.5,-9.37844024844142,"Logistic"
"25",21,12,-9.20048585512509,"Logistic"
"26",21,12.5,-9.03909187916821,"Logistic"
"27",21,13,-8.89230895898998,"Logistic"
"28",21,13.5,-8.758475815441,"Logistic"
"29",21,14,-8.63616788072466,"Logistic"
"30",21,14.5,-8.52415655528006,"Logistic"
"31",21,15,-8.42137661254898,"Logistic"
"32",21,15.5,-8.32689991158083,"Logistic"
"33",21,16,-8.2399140374528,"Logistic"
"34",21,16.5,-8.15970482404543,"Logistic"
"35",21,17,-8.08564195971661,"Logistic"
"36",21,17.5,-8.01716705916193,"Logistic"
"37",21,18,-7.95378372180869,"Logistic"
"38",21,18.5,-7.89504920081099,"Logistic"
"39",21,19,-7.84056738586879,"Logistic"
"40",21,19.5,-7.78998286398212,"Logistic"
"41",21,20,-7.74297586944004,"Logistic"
"42",21,20.5,-7.69925797117384,"Logistic"
"43",21,21,-7.65856837454121,"Logistic"
"44",21,21.5,-7.6206707374889,"Logistic"
"45",21,22,-7.58535041924085,"Logistic"
"46",21,22.5,-7.552412094219,"Logistic"
"47",21,23,-7.52167767561403,"Logistic"
"48",21,23.5,-7.49298450249155,"Logistic"
"49",21,24,-7.46618375201075,"Logistic"
"50",21,24.5,-7.44113904461198,"Logistic"
"51",21,25,-7.41772521517741,"Logistic"
"52",21,25.5,-7.39582722740853,"Logistic"
"53",21,26,-7.3753392121692,"Logistic"
"54",21,26.5,-7.35616361345247,"Logistic"
"55",21,27,-7.33821042805373,"Logistic"
"56",21,27.5,-7.32139652705958,"Logistic"
"57",21,28,-7.30564504896316,"Logistic"
"58",21,28.5,-7.29088485564821,"Logistic"
"59",21,29,-7.27705004369424,"Logistic"
"60",21,29.5,-7.26407950447924,"Logistic"
"61",21,30,-7.2519165274277,"Logistic"
"62",21,30.5,-7.24050844149304,"Logistic"
"63",21,31,-7.22980629059813,"Logistic"
"64",21,31.5,-7.21976453930048,"Logistic"
"65",21,32,-7.21034080541533,"Logistic"
"66",21,32.5,-7.20149561673187,"Logistic"
"67",21,33,-7.19319218930446,"Logistic"
"68",21,33.5,-7.18539622510108,"Logistic"
"69",21,34,-7.17807572705139,"Logistic"
"70",21,34.5,-7.17120082976294,"Logistic"
"71",21,35,-7.16474364437124,"Logistic"
"72",21,35.5,-7.15867811616135,"Logistic"
"73",21,36,-7.15297989374887,"Logistic"
"74",21,36.5,-7.14762620874034,"Logistic"
"75",21,37,-7.14259576490846,"Logistic"
"76",21,37.5,-7.13786863601957,"Logistic"
"77",21,38,-7.13342617154038,"Logistic"
"78",21,38.5,-7.12925090953041,"Logistic"
"79",21,39,-7.12532649609629,"Logistic"
"80",21,39.5,-7.12163761084651,"Logistic"
"81",21,40,-7.11816989784014,"Logistic"
"82",21,40.5,-7.11490990157188,"Logistic"
"83",21,41,-7.11184500757987,"Logistic"
"84",21,41.5,-7.10896338730094,"Logistic"
"85",21,42,-7.10625394683348,"Logistic"
"86",21,42.5,-7.10370627929841,"Logistic"
"87",21,43,-7.10131062051745,"Logistic"
"88",21,43.5,-7.09905780775204,"Logistic"
"89",21,44,-7.09693924126953,"Logistic"
"90",21,44.5,-7.09494684852282,"Logistic"
"91",21,45,-7.09307305074851,"Logistic"
"92",21,45.5,-7.09131073180439,"Logistic"
"93",21,46,-7.08965320908274,"Logistic"
"94",21,46.5,-7.08809420634873,"Logistic"
"95",21,47,-7.08662782836584,"Logistic"
"96",21,47.5,-7.08524853718118,"Logistic"
"97",21,48,-7.08395112995363,"Logistic"
"98",21,48.5,-7.08273071821695,"Logistic"
"99",21,49,-7.08158270847838,"Logistic"
"100",21,49.5,-7.08050278406078,"Logistic"
"101",21,50,-7.07948688810347,"Logistic"
"102",21,50.5,-7.0785312076432,"Logistic"
"103",21,51,-7.07763215870249,"Logistic"
"104",21,51.5,-7.07678637231808,"Logistic"
"105",21,52,-7.07599068144687,"Logistic"
"106",21,52.5,-7.07524210869154,"Logistic"
"107",21,53,-7.07453785479194,"Logistic"
"108",21,53.5,-7.07387528783232,"Logistic"
"109",21,54,-7.07325193311782,"Logistic"
"110",21,54.5,-7.072665463677,"Logistic"
"111",21,55,-7.07211369135025,"Logistic"
"112",21,55.5,-7.07159455842639,"Logistic"
"113",21,56,-7.07110612979269,"Logistic"
"114",21,56.5,-7.07064658556559,"Logistic"
"115",21,57,-7.07021421417185,"Logistic"
"116",21,57.5,-7.06980740585164,"Logistic"
"117",21,58,-7.06942464655723,"Logistic"
"118",21,58.5,-7.0690645122223,"Logistic"
"119",21,59,-7.06872566337914,"Logistic"
"120",21,59.5,-7.06840684010166,"Logistic"
"121",21,60,-7.06810685725443,"Logistic"
"122",21,60.5,-7.06782460002854,"Logistic"
"123",21,61,-7.06755901974677,"Logistic"
"124",21,61.5,-7.06730912992143,"Logistic"
"125",21,62,-7.06707400254937,"Logistic"
"126",21,62.5,-7.06685276462969,"Logistic"
"127",21,63,-7.06664459489052,"Logistic"
"128",21,63.5,-7.06644872071202,"Logistic"
"129",21,64,-7.06626441523388,"Logistic"
"130",21,64.5,-7.06609099463593,"Logistic"
"131",21,65,-7.06592781558135,"Logistic"
"132",21,65.5,-7.06577427281281,"Logistic"
"133",21,66,-7.06562979689209,"Logistic"
"134",21,66.5,-7.06549385207465,"Logistic"
"135",21,67,-7.06536593431097,"Logistic"
"136",21,67.5,-7.06524556936698,"Logistic"
"137",21,68,-7.06513231105652,"Logistic"
"138",21,68.5,-7.06502573957897,"Logistic"
